authors	title	abstract	publication_year	doi/url	DL	IS_ACCEPTED	publisher	paper_type	problem	approach	solution	languages	KGs	datasets	metrics	technologies	challenges/future work	source code	demo	comments
Elizaveta Zimina; Jyrki Nummenmaa; Kalervo Jarvelin; Jaakko Peltonen; Kostas Stefanidis	MuG-QA: Multilingual Grammatical Question Answering for RDF Data	We introduce [::Multilingual::] Grammatical [::Question Answering::] (MuG-[::QA::]), a system for answering questions in the English, German, Italian and French languages over [::DBpedia::]. The natural language modelling and parsing is implemented using Grammatical Framework (GF), a grammar formalism having natural support for [::multilinguality::]. The question analysis is based on forming an ab...	2018	https://doi.org/10.1109/PIC.2018.8706310	IEEE Xplore	TRUE	IEEE PIC conference	System	Rapid development of RDF and KBs, increas of non-English data	Based on forming an abstract conceptual grammar from the questions, and then using linearisation of the abstract grammar into different languages to parse the questions. Once a natural language question is parsed, the resulting abstract grammar tree is matched with the knowledge base schema and contents to formulate a SPARQL query.	The MUG-QA Grammar is formed using the grammatical framework and its resource library, the entities and classes are linked using "interlanguage-links-dataset"	English, German, Italian, French	DBpedia	QALD-7	Micro/Macro Precision, Recall, F1 Score	Grammatical Framework (GF) and The GF Resource Grammar Library	Improving "Semantic flexibility" of the system, add more languages			The grammar rule based methods requires experts and increased labor costs for creating them. Despite abstract grammar tree is language-agnostic, one still require create mappings for introducing a new language
Aleksandr Perevalov; Dennis Diefenbach; Ricardo Usbeck; Andreas Both	QALD-9-plus: A Multilingual Dataset for Question Answering over DBpedia and Wikidata Translated by Native Speakers	The ability to have the same experience for different user groups (i.e., accessibility) is one of the most important characteristics of Web-based systems. The same is true for [::Knowledge Graph::] [::Question Answering::] ([::KGQA::]) systems that provide the access to [::Semantic ::][::Web::][:: data::] via [::natural language interface::]. While following our research agenda on the [::multiling...	2022	https://doi.org/10.1109/ICSC52841.2022.00045	IEEE Xplore	TRUE	IEEE ICSC conference	Dataset	Lack of multilingual benchmarks for question answering over knowledge graphs	Use native speakers of different languages (including endangered) to translate the original questions in order to extend the dataset.	Utilize Amazon Mechanical Turk and Yandex Toloka crowdsourcing platforms, assign tasks for translation with region, phone number and skills resrtiction for the workers. In the same setting, the obtained translations are validated.	English, German, French, Russian, Ukrainian, Lithuanian, Belarusian, Bashkir, Armenian	DBpedia, Wikidata	QALD-9, QALD-9-plus	Micro/Macro Precision, Recall, F1 Score	Amazon Mechanical Turk, Yandex Toloka, Python	Add meta information, cover existing languages completely, increase number of questions and languages	https://github.com/KGQA/qald_9_plus		Not so many questions for the benchmark, needs to be extended. Not all the languages are covered completely
Aleksandr Perevalov; Axel-Cyrille Ngonga Ngomo; Andreas Both	Enhancing the Accessibility of Knowledge Graph Question Answering Systems through Multilingualization	There are around 7000 languages spoken today in the world, yet English dominates in many research communities e.g., [::Knowledge Graph::] [::Question Answering::] ([::KGQA::]). The goal of a [::KGQA::] system is to provide natural language access to a [::knowledge graph::]. While many research works aim to achieve the best possible [::QA::] quality over English benchmarks, only a small share of th...	2022	https://doi.org/10.1109/ICSC52841.2022.00048	IEEE Xplore	TRUE	IEEE ICSC conference	Review	"Digital language divide", domination of english	Increase multilingual accessibility of question answering systems over knowledge graphs	A proposal to create more multilingual benchmarks, models, and systems. Improve machine translation with named entity awareness	English, German, French, Russian, Ukrainian, Lithuanian, Belarusian, Bashkir, Armenian, Hebrew, Kannada, Chinese	DBpedia, Wikidata	QALD-9, RuBQ 2.0, CWQ, QALD-9-Plus	Micro/Macro Precision, Recall, F1 Score		Curation of high-quality benchmarks takes some time, research community needs to think on language-agnostic approaches			This is a PhD symposium paper
Jin, Qiao and Yuan, Zheng and Xiong, Guangzhi and Yu, Qianlan and Ying, Huaiyuan and Tan, Chuanqi and Chen, Mosha and Huang, Songfang and Liu, Xiaozhong and Yu, Sheng	Biomedical Question Answering: A Survey of Approaches and Challenges	Automatic Question Answering (QA) has been successfully applied in various domains such as search engines and chatbots. Biomedical QA (BQA), as an emerging QA task, enables innovative applications to effectively perceive, access, and understand complex biomedical knowledge. There have been tremendous developments of BQA in the past two decades, which we classify into five distinctive approaches: classic, information retrieval, machine reading comprehension, knowledge base, and question entailment approaches. In this survey, we introduce available datasets and representative methods of each BQA approach in detail. Despite the developments, BQA systems are still immature and rarely used in real-life settings. We identify and characterize several key challenges in BQA that might lead to this issue, and we discuss some potential future directions to explore.	2022	https://doi.org/10.1145/3490238	ACM DL	FALSE		Review					SIDER, Drugbank, Diseasome	QALD-4 Task 2, Bioinformatics						No particular focus on KGQA and multilinguality
Punjani, D. and Singh, K. and Both, A. and Koubarakis, M. and Angelidis, I. and Bereta, K. and Beris, T. and Bilidas, D. and Ioannidis, T. and Karalis, N. and Lange, C. and Pantazi, D. and Papaloukas, C. and Stamoulis, G.	Template-Based Question Answering over Linked Geospatial Data	Large amounts of geospatial data have been made available recently on the linked open data cloud and on the portals of many national cartographic agencies (e.g., OpenStreetMap data, administrative geographies of various countries, or land cover/land use data sets). These datasets use various geospatial vocabularies and can be queried using SPARQL or its OGC-standardized extension GeoSPARQL. In this paper we go beyond these approaches to offer a question answering service on top of linked geospatial data sources. Our system has been implemented as re-usable components of the Qanary question answering architecture to provide benefits for future research tasks. We give a detailed description of the architecture of the system, its underlying algorithms and its evaluation using a set of 201 natural language questions.	2018	https://doi.org/10.1145/3281354.3281362	ACM DL	FALSE	GIR 2018 Workshop	System					DBpedia							Doesn't targets on multilingual functionality
Maree, Mohammed and Rattrout, Amjad and Altawil, Muhanad and Belkhatir, Mohammed	Multi-Modality Search and Recommendation on Palestinian Cultural Heritage Based on the Holy-Land Ontology and Extrinsic Semantic Resources	The Cultural Heritage (CH) sector and its associated tourism services have been affected notably by the advancement of the Internet as well as the explosive growth of smartphones and other handheld devices. These days, visitors can access reliable CH content using Web and mobile-based interfaces. However, conventional CH systems still lack the ability to provide meaningful semantically overt results that precisely meet user information needs in this domain. In addition, they often ignore the user search context and experience, which hinders their ability to adapt their behavior to the preferences, tasks, interests, and other user functionalities. In this article, we aim to address the issue of designing a precision-oriented multilingual and multi-criteria semantic-based mobile recommender system specifically targeting Palestine's CH, a country with great historical and cultural importance. We aim to better facilitate users’ access to CH content by providing them with multiple search functionalities. In this context, a user can search for relevant information using keywords (a.k.a. tags) or sentence-like queries and the system retrieves all relevant documents based on their semantic similarity. A second option is to search using current location information to retrieve correlated historical places and events. Finally, starting from a picture of interest, a third option makes it possible to extract captions describing its content that can be used to search for additional contextually relevant information. Additionally, the proposed system aims at personalizing users’ experience through progressively delivering output that meets their information needs based on a number of parameters such as users' logging data, interests, previous searches, and location-based information. A prototype of the proposed system has been developed and tested using Android smartphones and a manually constructed ontology enriched with CH links to the Art &amp; Architecture Thesaurus (AAT) and DBpedia. By comparing our system with similar systems in this domain, findings demonstrate that it provides additional search features and functionalities to users. The proposed Holy-Land ontology is the first of its kind attempting to encode knowledge about Palestine's CH. It plays a crucial role in our proposal, serving as a pivotal entity in the combination of language-based, location-based, and visual-based retrieval strategies.	2021	https://doi.org/10.1145/3447523	ACM DL	FALSE														No open access
Diefenbach, Dennis and Migliatti, Pedro Henrique and Qawasmeh, Omar and Lully, Vincent and Singh, Kamal and Maret, Pierre	QAnswer: A Question Answering Prototype Bridging the Gap between a Considerable Part of the LOD Cloud and End-Users	We present QAnswer, a Question Answering system which queries at the same time 3 core datasets of the Semantic Web, that are relevant for end-users. These datasets are Wikidata with Lexemes, LinkedGeodata and Musicbrainz. Additionally, it is possible to query these datasets in English, German, French, Italian, Spanish, Pourtuguese, Arabic and Chinese. Moreover, QAnswer includes a fallback option to the search engine Qwant when the answer to a question cannot be found in the datasets mentioned above. These features make QAnswer as the first prototype of a Question Answering System over a considerable part of the LOD cloud.	2019	https://doi.org/10.1145/3308558.3314124	ACM DL	TRUE	WWW 2019	System	Accessibility of large amount of the LOD datasets is limited. The majority of the systems allow to access only one dataset and one language	Multilingual, KB-agnostic approach. 4-step process: question expansion, query construction, query ranking, answer decision	question expansion finds all concepts related to a particular n-gram substring, query construction combines the concepts using pre-defined algorithm for query patterns, query ranking ranks the generated queries according to a set of manually constructed features, answer decision utilizes ML binary classifier for additional filtering of queries	English, German, French, Italian, Spanish, Pourtuguese, Arabic, Chinese	Wikidata, DBpedia, MusicBrainz, DBLP, Freebase	QALD-3, QALD-4, QALD-5, QALD-6, QALD-7, LC-QuAD 1.0	Precision, Recall, F1 score, Runtime	Java, HDT	The identification of relations relies on a dictionary. Introduce non-dictionary based methods (e.g., word embeddings)		https://qanswer-frontend.univ-st-etienne.fr/	Flexible and production oriented approach. The query generation algorithm may be a bottleneck as it's not possible to foresee all possible query structures for all KGs
Souza Costa, Tarc\'{\i}sio and Gottschalk, Simon and Demidova, Elena	Event-QA: A Dataset for Event-Centric Question Answering over Knowledge Graphs	Semantic Question Answering (QA) is a crucial technology to facilitate intuitive user access to semantic information stored in knowledge graphs. Whereas most of the existing QA systems and datasets focus on entity-centric questions, very little is known about these systems' performance in the context of events. As new event-centric knowledge graphs emerge, datasets for such questions gain importance. In this paper, we present the Event-QA dataset for answering event-centric questions over knowledge graphs. Event-QA contains 1000 semantic queries and the corresponding English, German and Portuguese verbalizations for EventKG - an event-centric knowledge graph with more than 970 thousand events.	2020	https://doi.org/10.1145/3340531.3412760	ACM DL	TRUE	CIKM 2020	Dataset	Most of the existing QA systems and datasets focus on entity-centric questions, very little is known about these systems’ performance in the context of events. As new event-centric knowledge graphs emerge, datasets for such questions gain importance.	Automatically generate the semantic queries (SPARQL) for the event-centric dataset using random-walk based approach and provide reproducible framework for doing so by other researchers.	Multi-step Query Generation Pipeline: Query Type Selection, Event Extraction, Seed Relation Selection,  Query Graph Generation, Semantic Query Generation, Query Verbalization. The latter step was done manually by native speakers	English, German, Portugese	DBpedia	Event-QA	Query Complexity, Query Diversity, Verbalization Diversity	Java		https://github.com/tarcisiosouza/Event-QA		The verbalization step could be also semi-automatic. For example, 1st step is Triple2NL, 2nd step manual verification
Diefenbach, Dennis and Singh, Kamal and Maret, Pierre	WDAqua-Core1: A Question Answering Service for RDF Knowledge Bases	In the last two decades a new part of the web grew significantly, namely the Semantic Web. It contains many Knowledge Bases (KB) about different areas like music, books, publications, live science and many more. Question Answering (QA) over KBs is seen as the most promising approach to bring this data to end-users. We describe WDAqua-core1, a QA service for querying RDF knowledge-bases. It is multilingual, it supports different RDF knowledge bases and it understands both full natural language questions and keyword questions.	2018	https://doi.org/10.1145/3184558.3191541	ACM DL	TRUE	The Web Conf 2018	System	a QA solution freely available would allow to set up QA services over many new data sources and would probably also boost the publication of new RDF data-sets. 	This approach is based on the idea that many questions can be understood by ignoring the syntax and that the semantics of the words suffic	question expansion finds all concepts related to a particular n-gram substring, query construction combines the concepts using pre-defined algorithm for query patterns, query ranking ranks the generated queries according to a set of manually constructed features, answer decision utilizes ML binary classifier for additional filtering of queries	English, German, French, Italian, Spanish	DBpedia, Wikidata, MusicBrainz, DBLP	QALD-3, QALD-4, QALD-5, QALD-6, QALD-7	Precision, Recall, F1 score	Qanary				The same as row 8
Aleksandr Perevalov, Andreas Both, Dennis Diefenbach, Axel-Cyrille Ngonga Ngomo	Can Machine Translation be a Reasonable Alternative for Multilingual Question Answering Systems over Knowledge Graphs?	Providing access to information is the main and most important purpose of the Web. However, despite available easy-to-use tools (e.g., search engines, chatbots, question answering) the accessibility is typically limited by the capability of using the English language. This excludes a huge amount of people. In this work, we discuss Knowledge Graph Question Answering (KGQA) systems that aim at providing natural language access to data stored in Knowledge Graphs (KG). While several KGQA systems have been proposed, only very few have dealt with a language other than English. In this work, we follow our research agenda of enabling speakers of any language to access the knowledge stored in KGs. Because of the lack of native support for many languages, we use machine translation (MT) tools to evaluate KGQA systems regarding questions in languages that are unsupported by a KGQA system. In total, our evaluation is based on 8 different languages (including some that never were evaluated before). For the intensive evaluation, we extend the QALD-9 dataset for KGQA with Wikidata queries and high-quality translations. The extension was done in a crowdsourcing manner by native speakers of the different languages. By using multiple KGQA systems for the evaluation, we were enabled to investigate and answer the main research question: “Can MT be an alternative for multilingual KGQA systems?”. The evaluation results demonstrated that the monolingual KGQA systems can be effectively ported to the new languages with MT tools.	2022	https://doi.org/10.1145/3485447.3511940	ACM DL	TRUE	The Web Conf 2022	System	Unequal language distribution on the web and therefore unequal content accessibility. In addition, few of research initiatives are targeting the problem of multilingual access in the KGQA field.	Combine well-known KGQA systems with machine translation tools in order to see the impact of machine translation on question answering quality. Determine, whether machine translation could be an alternative to multilingual solutions.	Use original multilingual questions from the QALD-9-benchmark. Evaluate given the native support using the original questions and evaluate using machine-translated original questions with Yandex and HelsinkiNLP on QAnswer, DeepPavlov, and Platypus.	English, German, French, Russian, Ukrainian, Lithuanian, Belarusian, Bashkir, Armenian	Wikidata, DBpedia	QALD-9-Plus	Micro/Macro Precision, Recall, F1 Score	Python, Yandex Translate	Extend w.r.t. languages, number of questions, KGQA systems, MT systems, named entity aware MT solutions	https://github.com/Perevalov/mt-for-kgqa		No detailed error type analysis was given e.g., question type analysis
Vladislav Korablinov Pavel Braslavski	RuBQ: A Russian Dataset for Question Answering over Wikidata	The paper presents RuBQ, the first Russian knowledge base question answering (KBQA) dataset. The high-quality dataset consists of 1,500 Russian questions of varying complexity, their English machine translations, SPARQL queries to Wikidata, reference answers, as well as a Wikidata sample of triples containing entities with Russian labels. The dataset creation started with a large collection of question-answer pairs from online quizzes. The data underwent automatic filtering, crowd-assisted entity linking, automatic generation of SPARQL queries, and their subsequent in-house verification.  The freely available dataset will be of interest for a wide community of researchers and practitioners in the areas of Semantic Web, NLP, and IR, especially for those working on multilingual question answering. The proposed dataset generation pipeline proved to be efficient and can be employed in other data annotation projects.	2020	https://doi.org/10.1007/978-3-030-62466-8_7	Springer	TRUE	ISWC 2020	Dataset	Multilingual KBQA has received a deal of attention in the literature. However, almost all available KBQA datasets are English, Chinese datasets being an exception. Existing multilingual QALD datasets are rather small. No Russian KBQA/Semantic Parsing dataset was ever published	Collect the dataset in multiple languages including Russian via collecting question from quizes and multi-step approach including crowd-workers and machine translation.	Raw questions gathered from open Russian quiz collections. Thereafter self-implemented entity linking tool was used and results of entity linking were validated with crowd-workers using Yandex Toloka. Then, Path Generation and In-house Annotation were used to finalize the data. The original Russian questions were machine-translated with Yandex Translate to English.	Russian, English	Wikidata	RuBQ 1.0	answerable correct, answerable incorrect, unanswerable correct, unanswerable incorrect	Elasticsearch, Yandex Toloka, Yandex Translate, Python	Explore other data sources and approaches for RuBQ expansion: search query suggest APIs, a large question log, and Wikidata SPARQL query logs. Also address complex questions and questions with literals as answers, as well as the creation of a stronger baseline for RuBQ.	https://github.com/vladislavneon/RuBQ/tree/master/RuBQ_1.0		The dataset is biased towards Russian-specific entities. The machine-translated English is also doubtful. No common QA quality metrics were presented
Christina Unger André Freitas Philipp Cimiano	An Introduction to Question Answering over Linked Data		2014	https://doi.org/10.1007/978-3-319-10587-1_2	Springer	FALSE														
Ivan Rybin Vladislav Korablinov Pavel Efimov Pavel Braslavski	RuBQ 2.0: An Innovated Russian Question Answering Dataset	The paper describes the second version of RuBQ, a Russian dataset for knowledge base question answering (KBQA) over Wikidata. Whereas the first version builds on Q&A pairs harvested online, the extension is based on questions obtained through search engine query suggestion services. The questions underwent crowdsourced and in-house annotation in a quite different fashion compared to the first edition. The dataset doubled in size: RuBQ 2.0 contains 2,910 questions along with the answers and SPARQL queries. The dataset also incorporates answer-bearing paragraphs from Wikipedia for the majority of questions. The dataset is suitable for the evaluation of KBQA, machine reading comprehension (MRC), hybrid questions answering, as well as semantic parsing. We provide the analysis of the dataset and report several KBQA and MRC baseline results. The dataset is freely available under the CC-BY-4.0 license.	2021	https://doi.org/10.1007/978-3-030-77385-4_32	Springer	TRUE	ESWC 2021	Dataset	Available KBQA datasets are much scarcer than MRC; there are very few non-English datasets among them (see Section 2 for details). Russian is among top-10 languages by its L1 and L2 speakers; it has a Cyrillic script and a number of grammar features that make it quite different from e.g. English and Chinese – the languages most frequently used in NLP and Semantic Web research	Expand the dataset in multiple languages including Russian via collecting questions from query suggestion services and multi-step approach including crowd-workers and machine translation.	Raw questions gathered from the query suggestions by Google and Yandex based on previously generated query prefixes. Thereafter self-implemented entity linking tool was used and results of entity linking were validated with crowd-workers using Yandex Toloka. Then, Path Generation and In-house Annotation were used to finalize the data. The original Russian questions were machine-translated with Yandex Translate to English. The MRC part of the dataset was generated according to authors approach based on the wikipedia articles.	Russian, English	Wikidata	RuBQ 1.0, RuBQ 2.0	answerable correct, answerable incorrect, unanswerable correct, unanswerable incorrect	Elasticsearch, Yandex Toloka, Yandex Translate, Python	Disadvantage of query suggestion services as a source of questions is that we have very little control over the questions’ selection criteria, as well as a limited number of returned suggestions for each input. In addition, the services rank the returned queries by their popularity, which may result in shorter, simpler, and less varied questions. 	https://github.com/vladislavneon/RuBQ/tree/master/RuBQ_2.0		The dataset is still biased towards Russian-specific entities. The machine-translated English is also doubtful. No common QA quality metrics were presented
Philipp Cimiano Vanessa Lopez Christina Unger Elena Cabrio Axel-Cyrille Ngonga Ngomo Sebastian Walter	Multilingual Question Answering over Linked Data (QALD-3): Lab Overview	The third edition of the open challenge on Question Answering over Linked Data (QALD-3) has been conducted as a half-day lab at CLEF 2013. Differently from previous editions of the challenge, has put a strong emphasis on multilinguality, offering two tasks: one on multilingual question answering and one on ontology lexicalization. While no submissions were received for the latter, the former attracted six teams who submitted their systems’ results on the provided datasets. This paper provides an overview of QALD-3, discussing the approaches proposed by the participating systems as well as the obtained results.	2013	https://doi.org/10.1007/978-3-642-40802-1_30	Springer	TRUE	CLEF 2013	Dataset	The key challenge lies in translating the users’ information needs into a form such that they can be evaluated using standard Semantic Web query processing and inferencing techniques. To this end, systemshave to deal with a heterogeneous, distributed and very large set of highly in-terconnected data. multilinguality has become an issue of major interest for the Semantic Web community, as both the number of actors creating and publishing data in languages otherthan English, as well as the amount of users that access this data and speaknative languages other than English is growing substantially. 	To provide an up-to-date, demanding benchmark that estab-lishes a standard against which question answering systems over structured datacan be evaluated and compared.  	Manually created dataset of the QALD-JSON format with questions translated in multiple languages	English, Spanish, German, Italian, French, Dutch	DBpedia, MusicBrainz	QALD-3	Precision, Recall, F1 Score	Python	Emphasize further aspects of question answering over linked data, such as the need to deal with a variety of interconnecteddatasets as well as hybrid sources of information (structured RDF data and un-structured text), Biomedical domain	https://github.com/ag-sc/QALD/tree/master/3		Small dataset size 150 questions in total
Ricardo Usbeck Axel-Cyrille Ngonga Ngomo Bastian Haarmann Anastasia Krithara Michael Röder Giulio Napolitano	7th Open Challenge on Question Answering over Linked Data (QALD-7)	The past years have seen a growing amount of research on question answering (QA) over Semantic Web data, shaping an interaction paradigm that allows end users to profit from the expressive power of Semantic Web standards while, at the same time, hiding their complexity behind an intuitive and easy-to-use interface. On the other hand, the growing amount of data has led to a heterogeneous data landscape where QA systems struggle to keep up with the volume, variety and veracity of the underlying knowledge.	2017	https://doi.org/10.1007/978-3-319-69146-6_6	Springer	TRUE	ESWC 2017	Dataset	The key challenge lies in translating the users’ information needs into a form such that they can be evaluated using standard Semantic Web query processing and inferencing techniques. To this end, systemshave to deal with a heterogeneous, distributed and very large set of highly in-terconnected data. multilinguality has become an issue of major interest for the Semantic Web community, as both the number of actors creating and publishing data in languages otherthan English, as well as the amount of users that access this data and speaknative languages other than English is growing substantially. 	To provide an up-to-date, demanding benchmark that estab-lishes a standard against which question answering systems over structured datacan be evaluated and compared.  	Manually created dataset of the QALD-JSON format with questions translated in multiple languages	English, Spanish, German, Italian, French, Dutch, Romanian, Farsi	DBpedia	QALD-7	Micro/Macro Precision, Recall, F1 Score	Gerbil	Offer leader boards prior to the actual challenge	https://github.com/ag-sc/QALD/tree/master/7		Small dataset size 275 questions in total
Nitish Aggarwal Tamara Polajnar Paul Buitelaar	Cross-Lingual Natural Language Querying over the Web of Data		2013	https://doi.org/10.1007/978-3-642-38824-8_13	Springer	FALSE														
Christina Unger Axel-Cyrille Ngonga Ngomo Elena Cabrio	6th Open Challenge on Question Answering over Linked Data (QALD-6)	The past years have seen a growing amount of research on question answering over Semantic Web data (for an overview see [1]), shaping an interaction paradigm that allows end users to profit from the expressive power of Semantic Web standards while at the same time hiding their complexity behind an intuitive and easy-to-use interface.	2016	https://doi.org/10.1007/978-3-319-46565-4_13	Springer	TRUE	SemWebEval 2016	Dataset	Given the diversity of languages used on the web, there is an impeding need to facilitate multilingual access to semantic data. 	To provide an up-to-date, demanding benchmark that estab-lishes a standard against which question answering systems over structured datacan be evaluated and compared.  	Manually created dataset of the QALD-JSON format with questions translated in multiple languages	English, Spanish, German, Italian, French, Dutch, Romanian, Farsi	DBpedia	QALD-6	Micro/Macro Precision, Recall, F1 Score			https://github.com/ag-sc/QALD/tree/master/6		Small dataset size 350 questions in total
