authors	title	publication_year	doi	url	IS_ACCEPTED
Arijit Das and Diganta Saha	Deep learning based Bengali question answering system using semantic textual similarity	2022	https://doi.org/10.1007/s11042-021-11228-w	https://doi.org/10.1007/s11042-021-11228-w	FALSE
Yun Liu and Xiaoming Zhang and Feiran Huang and Bo Zhang and Zhoujun Li	Cross-Attentional Spatio-Temporal Semantic Graph Networks for Video Question Answering	2022	https://doi.org/10.1109/TIP.2022.3142526	https://doi.org/10.1109/TIP.2022.3142526	FALSE
Aleksandr Perevalov and Dennis Diefenbach and Ricardo Usbeck and Andreas Both	QALD-9-plus: {A} Multilingual Dataset for Question Answering over DBpedia and Wikidata Translated by Native Speakers	2022	https://doi.org/10.1109/ICSC52841.2022.00045	https://doi.org/10.1109/ICSC52841.2022.00045	TRUE
Aleksandr Perevalov and Axel{-}Cyrille Ngonga Ngomo and Andreas Both	Enhancing the Accessibility of Knowledge Graph Question Answering Systems through Multilingualization	2022	https://doi.org/10.1109/ICSC52841.2022.00048	https://doi.org/10.1109/ICSC52841.2022.00048	TRUE
Shen Gao and Yuchi Zhang and Yongliang Wang and Yang Dong and Xiuying Chen and Dongyan Zhao and Rui Yan	HeteroQA: Learning towards Question-and-Answering through Multiple Information Sources via Heterogeneous Graph Modeling	2022	https://doi.org/10.1145/3488560.3498378	https://doi.org/10.1145/3488560.3498378	FALSE
Aleksandr Perevalov and Dennis Diefenbach and Ricardo Usbeck and Andreas Both	QALD-9-plus: {A} Multilingual Dataset for Question Answering over DBpedia and Wikidata Translated by Native Speakers	2022		https://arxiv.org/abs/2202.00120	FALSE
Qianglong Chen	Semantic Sentence Composition Reasoning for Multi-Hop Question Answering	2022	https://doi.org/10.48550/arXiv.2203.00160	https://doi.org/10.48550/arXiv.2203.00160	FALSE
Mingxiao Li and Marie{-}Francine Moens	Dynamic Key-value Memory Enhanced Multi-step Graph Reasoning for Knowledge-based Visual Question Answering	2022	https://doi.org/10.48550/arXiv.2203.02985	https://doi.org/10.48550/arXiv.2203.02985	FALSE
Qi Lang and Xiaodong Liu and Yingjie Deng	Multi-level retrieval with semantic Axiomatic Fuzzy Set clustering for question answering	2021	https://doi.org/10.1016/j.asoc.2021.107858	https://doi.org/10.1016/j.asoc.2021.107858	FALSE
Mucheng Ren and Heyan Huang and Yang Gao	{SKR-QA:} Semantic ranking and knowledge revise for multi-choice question answering	2021	https://doi.org/10.1016/j.neucom.2021.06.076	https://doi.org/10.1016/j.neucom.2021.06.076	FALSE
Xi Zhu and Zhendong Mao and Zhineng Chen and Yangyang Li and Zhaohui Wang and Bin Wang	Object-difference drived graph convolutional networks for visual question answering	2021	https://doi.org/10.1007/s11042-020-08790-0	https://doi.org/10.1007/s11042-020-08790-0	FALSE
Mao Gu and Zhou Zhao and Weike Jin and Richang Hong and Fei Wu	Graph-Based Multi-Interaction Network for Video Question Answering	2021	https://doi.org/10.1109/TIP.2021.3051756	https://doi.org/10.1109/TIP.2021.3051756	FALSE
Lin Li and Miao Kong and Dong Li and Dong Zhou	A multi-granularity semantic space learning approach for cross-lingual open domain question answering	2021	https://doi.org/10.1007/s11280-021-00879-2	https://doi.org/10.1007/s11280-021-00879-2	FALSE
Jiayuan Zhang and Yifei Cai and Qian Zhang and Zehao Cao and Zhenrong Cheng and Dongmei Li and Xianghao Meng	Multi-Hop Reasoning for Question Answering with Knowledge Graph	2021	https://doi.org/10.1109/ICIS51600.2021.9516865	https://doi.org/10.1109/ICIS51600.2021.9516865	FALSE
Jianyu Cai and Zhanqiu Zhang and Feng Wu and Jie Wang	Deep Cognitive Reasoning Network for Multi-hop Question Answering over Knowledge Graphs	2021	https://doi.org/10.18653/v1/2021.findings-acl.19	https://doi.org/10.18653/v1/2021.findings-acl.19	FALSE
Weiwen Xu and Huihui Zhang and Deng Cai and Wai Lam	Dynamic Semantic Graph Construction and Reasoning for Explainable Multi-hop Science Question Answering	2021	https://doi.org/10.18653/v1/2021.findings-acl.90	https://doi.org/10.18653/v1/2021.findings-acl.90	FALSE
Ye Ji and Bohan Li and Yi Liu and Yuxin Zhang and Ken Cai	Multi-space Knowledge Enhanced Question Answering over Knowledge Graph	2021	https://doi.org/10.1007/978-3-030-85899-5\_10	https://doi.org/10.1007/978-3-030-85899-5\_10	FALSE
Zizheng Lin and Haowen Ke and Ngo{-}Yin Wong and Jiaxin Bai and Yangqiu Song and Huan Zhao and Junpeng Ye	Multi-Relational Graph based Heterogeneous Multi-Task Learning in Community Question Answering	2021	https://doi.org/10.1145/3459637.3482279	https://doi.org/10.1145/3459637.3482279	FALSE
Saurabh Srivastava and Mayur Patidar and Sudip Chowdhury and Puneet Agarwal and Indrajit Bhattacharya and Gautam Shroff	Complex Question Answering on knowledge graphs using machine translation and multi-task learning	2021	https://doi.org/10.18653/v1/2021.eacl-main.300	https://doi.org/10.18653/v1/2021.eacl-main.300	FALSE
Nick McKenna and Liane Guillou and Mohammad Javad Hosseini and Sander Bijl de Vroe and Mark Johnson and Mark Steedman	Multivalent Entailment Graphs for Question Answering	2021	https://doi.org/10.18653/v1/2021.emnlp-main.840	https://doi.org/10.18653/v1/2021.emnlp-main.840	FALSE
Jiaxin Shi and Shulin Cao and Lei Hou and Juanzi Li and Hanwang Zhang	TransferNet: An Effective and Transparent Framework for Multi-hop Question Answering over Relation Graph	2021	https://doi.org/10.18653/v1/2021.emnlp-main.341	https://doi.org/10.18653/v1/2021.emnlp-main.341	FALSE
Hanif Bhuiyan and Md. Abdul Karim and Faria Benta Karim and Jinat Ara	Semantic Improvement of Question-Answering System with Multi-Layer {LSTM}	2021	https://doi.org/10.1007/978-3-030-86970-0\_24	https://doi.org/10.1007/978-3-030-86970-0\_24	FALSE
Fuwei Zhang and Ruomei Wang and Songhua Xu and Fan Zhou	Fusing Temporally Distributed Multi-Modal Semantic Clues for Video Question Answering	2021	https://doi.org/10.1109/ICME51207.2021.9428225	https://doi.org/10.1109/ICME51207.2021.9428225	FALSE
Hongyu Ren and Hanjun Dai and Bo Dai and Xinyun Chen and Michihiro Yasunaga and Haitian Sun and Dale Schuurmans and Jure Leskovec and Denny Zhou	{LEGO:} Latent Execution-Guided Reasoning for Multi-Hop Question Answering on Knowledge Graphs	2021		http://proceedings.mlr.press/v139/ren21a.html	FALSE
Yudong Han and Yangyang Guo and Jianhua Yin and Meng Liu and Yupeng Hu and Liqiang Nie	Focal and Composed Vision-semantic Modeling for Visual Question Answering	2021	https://doi.org/10.1145/3474085.3475609	https://doi.org/10.1145/3474085.3475609	FALSE
Jingjing Jiang and Ziyi Liu and Yifan Liu and Zhixiong Nan and Nanning Zheng	{X-GGM:} Graph Generative Modeling for Out-of-distribution Generalization in Visual Question Answering	2021	https://doi.org/10.1145/3474085.3475350	https://doi.org/10.1145/3474085.3475350	FALSE
Liang Peng and Shuangji Yang and Yi Bin and Guoqing Wang	Progressive Graph Attention Network for Video Question Answering	2021	https://doi.org/10.1145/3474085.3475193	https://doi.org/10.1145/3474085.3475193	FALSE
Yongjie Huang and Meng Yang	Breadth First Reasoning Graph for Multi-hop Question Answering	2021	https://doi.org/10.18653/v1/2021.naacl-main.464	https://doi.org/10.18653/v1/2021.naacl-main.464	FALSE
Yucheng Zhou and Xiubo Geng and Tao Shen and Wenqiang Zhang and Daxin Jiang	Improving Zero-Shot Cross-lingual Transfer for Multilingual Question Answering over Knowledge Graph	2021	https://doi.org/10.18653/v1/2021.naacl-main.465	https://doi.org/10.18653/v1/2021.naacl-main.465	TRUE
Andrei{-}Marius Avram and George{-}Eduard Zaharia and Dumitru{-}Clementin Cercel and Mihai Dascalu	{UPB} at SemEval-2021 Task 8: Extracting Semantic Information on Measurements as Multi-Turn Question Answering	2021	https://doi.org/10.18653/v1/2021.semeval-1.65	https://doi.org/10.18653/v1/2021.semeval-1.65	FALSE
Rajat Koner and Hang Li and Marcel Hildebrandt and Deepan Das and Volker Tresp and Stephan G{\"{u}}nnemann	Graphhopper: Multi-hop Scene Graph Reasoning for Visual Question Answering	2021	https://doi.org/10.1007/978-3-030-88361-4\_7	https://doi.org/10.1007/978-3-030-88361-4\_7	FALSE
Rui Yan and Weiheng Liao and Jianwei Cui and Hailei Zhang and Yichuan Hu and Dongyan Zhao	Multilingual {COVID-QA:} Learning towards Global Information Sharing via Web Question Answering in Multiple Languages	2021	https://doi.org/10.1145/3442381.3449991	https://doi.org/10.1145/3442381.3449991	FALSE
Cen Chen and Chengyu Wang and Minghui Qiu and Dehong Gao and Linbo Jin and Wang Li	Cross-domain Knowledge Distillation for Retrieval-based Question Answering Systems	2021	https://doi.org/10.1145/3442381.3449814	https://doi.org/10.1145/3442381.3449814	FALSE
Yingting Li	Counterfactual-Augmented Data for Multi-Hop Knowledge Base Question Answering	2021	https://doi.org/10.1145/3442442.3453706	https://doi.org/10.1145/3442442.3453706	FALSE
Andrei{-}Marius Avram and George{-}Eduard Zaharia and Dumitru{-}Clementin Cercel and Mihai Dascalu	{UPB} at SemEval-2021 Task 8: Extracting Semantic Information on Measurements as Multi-Turn Question Answering	2021		https://arxiv.org/abs/2104.04549	FALSE
Jiaxin Shi and Shulin Cao and Lei Hou and Juanzi Li and Hanwang Zhang	TransferNet: An Effective and Transparent Framework for Multi-hop Question Answering over Relation Graph	2021		https://arxiv.org/abs/2104.07302	FALSE
Nick McKenna and Liane Guillou and Mohammad Javad Hosseini and Sander Bijl de Vroe and Mark Steedman	Multivalent Entailment Graphs for Question Answering	2021		https://arxiv.org/abs/2104.07846	FALSE
Yongqi Li and Wenjie Li and Liqiang Nie	A Graph-guided Multi-round Retrieval Method for Conversational Open-domain Question Answering	2021		https://arxiv.org/abs/2104.08443	FALSE
Weiwen Xu and Huihui Zhang and Deng Cai and Wai Lam	Dynamic Semantic Graph Construction and Reasoning for Explainable Multi-hop Science Question Answering	2021		https://arxiv.org/abs/2105.11776	FALSE
Rajat Koner and Hang Li and Marcel Hildebrandt and Deepan Das and Volker Tresp and Stephan G{\"{u}}nnemann	Graphhopper: Multi-Hop Scene Graph Reasoning for Visual Question Answering	2021		https://arxiv.org/abs/2107.06325	FALSE
Zizheng Lin and Haowen Ke and Ngo{-}Yin Wong and Jiaxin Bai and Yangqiu Song and Huan Zhao and Junpeng Ye	Multi-Relational Graph based Heterogeneous Multi-Task Learning in Community Question Answering	2021		https://arxiv.org/abs/2110.02059	FALSE
Weiqiang Jin and Hang Yu and Xi Tao and Ruiping Yin	Improving Embedded Knowledge Graph Multi-hop Question Answering by introducing Relational Chain Reasoning	2021		https://arxiv.org/abs/2110.12679	FALSE
Guanglin Niu and Yang Li and Chengguang Tang and Zhongkai Hu and Shibin Yang and Peng Li and Chengyu Wang and Hao Wang and Jian Sun	Path-Enhanced Multi-Relational Question Answering with Knowledge Graph Embeddings	2021		https://arxiv.org/abs/2110.15622	FALSE
Jianyun Zou and Min Yang and Lichao Zhang and Yechen Xu and Qifan Pan and Fengqing Jiang and Ran Qin and Shushu Wang and Yifan He and Songfang Huang and Zhou Zhao	A Chinese Multi-type Complex Questions Answering Dataset over Wikidata	2021		https://arxiv.org/abs/2111.06086	FALSE
Junbin Xiao and Angela Yao and Zhiyuan Liu and Yicong Li and Wei Ji and Tat{-}Seng Chua	Video as Conditional Graph Hierarchy for Multi-Granular Question Answering	2021		https://arxiv.org/abs/2112.06197	FALSE
Jianjian Cao and Xiameng Qin and Sanyuan Zhao and Jianbing Shen	Bilateral Cross-Modality Graph Matching Attention for Feature Fusion in Visual Question Answering	2021		https://arxiv.org/abs/2112.07270	FALSE
Vishwajeet Kumar and Saneem A. Chemmengath and Yash Gupta and Jaydeep Sen and Samarth Bharadwaj and Soumen Chakrabarti	Multi-Instance Training for Question Answering Across Table and Linked Text	2021		https://arxiv.org/abs/2112.07337	FALSE
Shen Gao and Yuchi Zhang and Yongliang Wang and Yang Dong and Xiuying Chen and Dongyan Zhao and Rui Yan	HeteroQA: Learning towards Question-and-Answering through Multiple Information Sources via Heterogeneous Graph Modeling	2021		https://arxiv.org/abs/2112.13597	FALSE
Min Zhang and Feng Li and Yang Wang and Zequn Zhang and Yanhai Zhou and Xiaoyu Li	Coarse and Fine Granularity Graph Reasoning for Interpretable Multi-Hop Question Answering	2020	https://doi.org/10.1109/ACCESS.2020.2981134	https://doi.org/10.1109/ACCESS.2020.2981134	FALSE
Mehrdad Alizadeh and Barbara Di Eugenio	Incorporating Verb Semantic Information in Visual Question Answering Through Multitask Learning Paradigm	2020	https://doi.org/10.1142/S1793351X20400085	https://doi.org/10.1142/S1793351X20400085	FALSE
Xu Wang and Shuai Zhao and Bo Cheng and Jiale Han and Yingting Li and Hao Yang and Guoshun Nan	{HGMAN:} Multi-Hop and Multi-Answer Question Answering Based on Heterogeneous Knowledge Graph (Student Abstract)	2020		https://ojs.aaai.org/index.php/AAAI/article/view/7249	FALSE
Zihan Xu and Hai{-}Tao Zheng and Shaopeng Zhai and Dong Wang	Knowledge and Cross-Pair Pattern Guided Semantic Matching for Question Answering	2020		https://ojs.aaai.org/index.php/AAAI/article/view/6478	FALSE
Xuanyu Zhang	{CFGNN:} Cross Flow Graph Neural Networks for Question Answering on Complex Tables	2020		https://ojs.aaai.org/index.php/AAAI/article/view/6506	FALSE
Xing David Wang and Leon Weber and Ulf Leser	Biomedical Event Extraction as Multi-turn Question Answering	2020	https://doi.org/10.18653/v1/2020.louhi-1.10	https://doi.org/10.18653/v1/2020.louhi-1.10	FALSE
Mahmoud Khademi	Multimodal Neural Graph Memory Networks for Visual Question Answering	2020	https://doi.org/10.18653/v1/2020.acl-main.643	https://doi.org/10.18653/v1/2020.acl-main.643	FALSE
Yunshi Lan and Jing Jiang	Query Graph Generation for Answering Multi-hop Complex Questions from Knowledge Bases	2020	https://doi.org/10.18653/v1/2020.acl-main.91	https://doi.org/10.18653/v1/2020.acl-main.91	FALSE
Apoorv Saxena and Aditay Tripathi and Partha P. Talukdar	Improving Multi-hop Question Answering over Knowledge Graphs using Knowledge Base Embeddings	2020	https://doi.org/10.18653/v1/2020.acl-main.412	https://doi.org/10.18653/v1/2020.acl-main.412	FALSE
Qianglong Chen and Feng Ji and Haiqing Chen and Yin Zhang	Improving Commonsense Question Answering by Graph-based Iterative Retrieval over Multiple Knowledge Sources	2020	https://doi.org/10.18653/v1/2020.coling-main.232	https://doi.org/10.18653/v1/2020.coling-main.232	FALSE
Yuwei Fang and Siqi Sun and Zhe Gan and Rohit Pillai and Shuohang Wang and Jingjing Liu	Hierarchical Graph Network for Multi-hop Question Answering	2020	https://doi.org/10.18653/v1/2020.emnlp-main.710	https://doi.org/10.18653/v1/2020.emnlp-main.710	FALSE
Nan Shao and Yiming Cui and Ting Liu and Shijin Wang and Guoping Hu	Is Graph Structure Necessary for Multi-hop Question Answering?	2020	https://doi.org/10.18653/v1/2020.emnlp-main.583	https://doi.org/10.18653/v1/2020.emnlp-main.583	FALSE
Yaoyuan Liang and Xin Wang and Xuguang Duan and Wenwu Zhu	Multi-modal Contextual Graph Neural Network for Text Visual Question Answering	2020	https://doi.org/10.1109/ICPR48806.2021.9412891	https://doi.org/10.1109/ICPR48806.2021.9412891	FALSE
Jun Hu and Quan Fang and Shengsheng Qian and Changsheng Xu	Multi-modal Attentive Graph Pooling Model for Community Question Answer Matching	2020	https://doi.org/10.1145/3394171.3413711	https://doi.org/10.1145/3394171.3413711	FALSE
Raeid Saqur and Karthik Narasimhan	Multimodal Graph Networks for Compositional Generalization in Visual Question Answering	2020		https://proceedings.neurips.cc/paper/2020/hash/1fd6c4e41e2c6a6b092eb13ee72bce95-Abstract.html	FALSE
Mehrdad Alizadeh and Barbara Di Eugenio	Augmenting Visual Question Answering with Semantic Frame Information in a Multitask Learning Approach	2020	https://doi.org/10.1109/ICSC.2020.00013	https://doi.org/10.1109/ICSC.2020.00013	FALSE
Wenxuan Zhang and Yang Deng and Wai Lam	Answer Ranking for Product-Related Questions via Multiple Semantic Relations Modeling	2020	https://doi.org/10.1145/3397271.3401166	https://doi.org/10.1145/3397271.3401166	FALSE
Nhuan D. To and Marek Reformat	Question-Answering System with Linguistic Terms over {RDF} Knowledge Graphs	2020	https://doi.org/10.1109/SMC42975.2020.9282949	https://doi.org/10.1109/SMC42975.2020.9282949	FALSE
Yunqi Qiu and Yuanzhuo Wang and Xiaolong Jin and Kun Zhang	Stepwise Reasoning for Multi-Relation Question Answering over Knowledge Graph with Weak Supervision	2020	https://doi.org/10.1145/3336191.3371812	https://doi.org/10.1145/3336191.3371812	FALSE
Ze Yang and Linjun Shou and Ming Gong and Wutao Lin and Daxin Jiang	Model Compression with Two-stage Multi-teacher Knowledge Distillation for Web Question Answering System	2020	https://doi.org/10.1145/3336191.3371792	https://doi.org/10.1145/3336191.3371792	FALSE
Yuqing Xie and Wei Yang and Luchen Tan and Kun Xiong and Nicholas Jing Yuan and Baoxing Huai and Ming Li and Jimmy Lin	Distant Supervision for Multi-Stage Fine-Tuning in Retrieval-Based Question Answering	2020	https://doi.org/10.1145/3366423.3380060	https://doi.org/10.1145/3366423.3380060	FALSE
Mehrdad Alizadeh and Barbara Di Eugenio	Augmenting Visual Question Answering with Semantic Frame Information in a Multitask Learning Approach	2020		https://arxiv.org/abs/2001.11673	FALSE
Guanming Xiong	Fine-tuning Multi-hop Question Answering with Hierarchical Graph Network	2020		https://arxiv.org/abs/2004.13821	FALSE
Wenxuan Zhang and Yang Deng and Wai Lam	Answer Ranking for Product-Related Questions via Multiple Semantic Relations Modeling	2020		https://arxiv.org/abs/2006.15599	FALSE
Qianglong Chen and Feng Ji and Haiqing Chen and Yin Zhang	Improving Commonsense Question Answering by Graph-based Iterative Retrieval over Multiple Knowledge Sources	2020		https://arxiv.org/abs/2011.02705	FALSE
